≥Ø¬•,∆Ú≈√,¿Œ√µ,≈Îøµ,ªÔ√¥
2019-02-18,4.6,2.1,6.4,11.9
2019-02-19,5.4,2.1,6.4,11.9
2019-02-20,5.5,2.3,6.4,11.9
2019-02-21,5.7,2.5,6.5,12.3
2019-02-22,6.6,2.7,6.5,12.4
2019-02-23,5.7,3,6.6,12.6
2019-02-24,5.5,3.2,6.9,12.9
2019-02-25,6.9,3.4,6.8,12.8
2019-02-26,7.1,3.6,7,12.7
2019-02-27,6.9,3.7,7.3,12.9
2019-02-28,5.9,3.8,7.8,12.8
2019-03-01,3.3,3.9,7.8,12.7
2019-03-02,4,4,8,12.6
2019-03-03,6.5,4.2,8.5,12.1
2019-03-04,7.3,4.4,8.6,12
2019-03-05,7.7,4.7,8.4,12.4
2019-03-06,9.3,4.9,8.6,11.4
2019-03-07,9.5,5,8.5,12.2
2019-03-08,7.8,5.1,8.7,12.5
2019-03-09,4.7,5.3,8.4,12.2
2019-03-10,7.8,5.3,8.7,12.7
2019-03-11,9.4,5.3,8.8,12.8
2019-03-12,9.5,5.3,8.6,12.6
2019-03-13,10.2,5.1,8.2,12.1
2019-03-14,10.4,5.2,8.4,12.4
2019-03-15,10.6,5.3,8.7,12.4
2019-03-16,8.6,5.2,8.2,12.6
2019-03-17,4.7,5.4,9,12.8
2019-03-18,9.3,5.7,9.5,13
2019-03-19,9,5.9,10.5,13
2019-03-20,8.7,6,9.3,13.6
2019-03-21,10.4,6.2,9.1,14.1
2019-03-22,9.8,6.1,9.4,13.7
2019-03-23,5.7,6.1,9.2,13.5
2019-03-24,8.2,6.1,9.3,13
2019-03-25,14,6.2,9.4,12.9
2019-03-26,15.3,6.4,9.5,13.4
2019-03-27,15.4,6.6,9.5,13.3
2019-03-28,15.2,6.8,10,13.3
2019-03-29,13.6,6.8,10.2,13.3
2019-03-30,9.1,6.9,10.5,13.4
2019-03-31,6.8,6.7,10.2,13.1
2019-04-01,10.7,7,10.2,12.9
2019-04-02,11.4,7.1,10.1,12.7
2019-04-03,12,7.2,10.1,12.8
2019-04-04,12.1,7.5,10.1,12.6
2019-04-05,12.2,7.7,10.2,12.5
2019-04-06,12.2,7.7,10.6,12.6
2019-04-07,11.1,7.8,10.9,13.3
2019-04-08,12.3,8.1,12.8,13.6
2019-04-09,12.6,8.1,11.3,13.3
2019-04-10,12.9,7.9,9.8,13.3
2019-04-11,12.7,8,10.8,13.1
2019-04-12,2.7,8.2,12.5,13.3
2019-04-13,11.5,8.4,12.1,13
2019-04-14,12.3,8.6,12.5,12.4
2019-04-15,12.6,8.7,12.2,12.2
2019-04-16,14.1,9.1,13.7,12.2
2019-04-17,14.3,9.4,15.4,12.4
2019-04-18,14.8,9.6,15,11.8
2019-04-19,14.6,9.7,14.1,12.7
2019-04-20,14.9,9.8,14.2,11.6
2019-04-21,14.9,10,16.8,10
2019-04-22,15.1,10.1,17.1,10.9
2019-04-23,15.7,10.3,14.7,10.1
2019-04-24,15.6,10.5,17.3,7.2
2019-04-25,15.3,10.7,15.9,10.7
2019-04-26,15.1,10.5,12.8,13
2019-04-27,15.2,10.3,12.7,12.7
2019-04-28,14.1,10.4,12.4,12
2019-04-29,15,10.7,12.4,11.6
2019-04-30,15.6,10.7,16,12.2
2019-05-01,14.9,11,16.6,12.2
2019-05-02,16,11.5,17.8,11.5
2019-05-03,16.1,12,16.8,11.7
2019-05-04,16.8,12.2,18.5,10.8
2019-05-05,16.1,12.4,19,9.5
2019-05-06,16.3,12.5,16.5,10.8
2019-05-07,16.8,12.6,15.8,11.7
2019-05-08,17.9,12.8,16,10.5
2019-05-09,18,13,18.1,12.3
2019-05-10,18.2,13,17.4,12.4
2019-05-11,18,13.3,18.9,12.5
2019-05-12,18,13.4,20.3,12.7
2019-05-13,18.3,13.6,18.1,12.7
2019-05-14,19.1,13.5,22,12.6
2019-05-15,19,13.8,21.7,13
2019-05-16,17.4,14.2,22,13.5
2019-05-17,17.5,14.6,20.4,13.5
2019-05-18,18.4,14.8,17.3,11.7
2019-05-19,19.2,14.8,19.4,9.2
2019-05-20,18.9,14.8,19.1,5.3
2019-05-21,19.5,14.9,18.4,3.8
2019-05-22,20,15.1,21,4.7
2019-05-23,21.8,15.5,21.9,7.3
2019-05-24,21.2,15.5,22.5,9.7
2019-05-25,20.6,15.9,23.3,10.4
2019-05-26,19.8,15.7,23.2,10.7
2019-05-27,20.6,16.5,19,8.7
2019-05-28,20.2,16.7,19.6,6.3
2019-05-29,19.7,16.8,20.9,7.2
2019-05-30,19.4,16.9,21.4,7.1
2019-05-31,19.7,17,18.2,7.7
2019-06-01,19.6,17.1,20.2,8.6
2019-06-02,17.2,17.2,21.2,8.8
2019-06-03,19.7,17.3,21.2,9.1
2019-06-04,20.6,17.4,23.4,8.7
2019-06-05,21,17.5,24.4,9.5
2019-06-06,20.9,17.6,22.5,10
2019-06-07,21.4,17.7,19.8,12
2019-06-08,20.9,17.7,21.8,12.2
2019-06-09,21.6,17.7,21.6,12.8
2019-06-10,22.6,17.7,20.6,13.8
2019-06-11,23.1,17.7,20.2,14.9
2019-06-12,22.6,17.7,21.8,16.6
2019-06-13,22.7,17.8,21.7,14.3
2019-06-14,20.7,17.9,18.8,8.5
2019-06-15,21.7,18,21.8,9.9
2019-06-16,22.5,18.1,21.8,14.9
2019-06-17,23.6,18.2,22.9,14.3
2019-06-18,23.7,18.3,21.9,15.3
2019-06-19,23.8,18.6,23.7,15.6
2019-06-20,24.1,18.7,24.8,15.5
2019-06-21,24.1,19.2,24.8,16.2
2019-06-22,24.1,18.9,22.6,18.8
2019-06-23,23.2,18.9,23.8,19.3
2019-06-24,24.7,19.9,22,20.2
2019-06-25,25.2,20.1,22.7,19.1
2019-06-26,24.1,20.1,19.7,13.7
2019-06-27,24,20.2,23.8,10.7
2019-06-28,24.3,20,23.4,12.8
2019-06-29,20.9,20,21.1,14.9
2019-06-30,20,20.1,24.6,14.9
2019-07-01,22.8,20.6,23.2,16.8
2019-07-02,23.8,21.1,25.7,17.9
2019-07-03,23.8,21.1,23.7,17.9
2019-07-04,24.1,20.6,24.3,19.2
2019-07-05,24.3,20.6,24.6,19.5
2019-07-06,24.7,20.6,24.7,19.7
2019-07-07,25.9,20.7,24.4,22
2019-07-08,26.4,20.8,23.7,22.7
2019-07-09,26.2,21,24.6,23
2019-07-10,25,21.1,20.9,23
2019-07-11,24.1,21.3,25.2,22.8
2019-07-12,24.2,21.5,22.7,22
2019-07-13,25.2,21.8,21.7,21.3
2019-07-14,24.4,22,21.7,21.8
2019-07-15,26,22.2,21.9,22.9
2019-07-16,26.4,22.3,22.6,22.9
2019-07-17,25.9,22.4,24,22.5
2019-07-18,26.2,22.7,23.7,19.1
2019-07-19,26.4,23,23.1,17.6
2019-07-20,26.3,23.1,23.7,18.9
2019-07-21,25.9,22.9,22.3,15.7
2019-07-22,26.7,23.1,22.9,16
2019-07-23,27,23.3,22.6,18.5
2019-07-24,27.3,23.5,22.5,19.6
2019-07-25,27.6,23.4,22.4,18.9
2019-07-26,26.8,23.4,22.3,18.6
2019-07-27,26.7,23.3,22.1,21.3
2019-07-28,25.6,23.4,21.8,21.6
2019-07-29,26.6,23.4,22,20.2
2019-07-30,26.9,23.3,21.7,20.3
2019-07-31,26.4,23.7,21.6,21.4
2019-08-01,25.8,23.6,22,21.9
2019-08-02,27.2,23.9,22.5,23
2019-08-03,26.4,23.9,22.9,21.5
2019-08-04,26.8,24.1,22.9,19.4
2019-08-05,27.9,24.1,23.1,19.9
2019-08-06,28.7,24.3,23.6,21.7
2019-08-07,28.6,24.3,22.9,20.7
2019-08-08,29,24.4,22.8,18.3
2019-08-09,30.7,24.4,23,22.4
2019-08-10,31.3,24.7,25,22.6
2019-08-11,30.4,24.9,27.1,23.8
2019-08-12,29.6,24.9,26.6,20.7
2019-08-13,28.8,24.9,26.3,18.3
2019-08-14,28.9,25,27.8,22.8
2019-08-15,30.8,25.1,27.7,23.8
2019-08-16,29.9,25.1,26.8,24.3
2019-08-17,28,25.1,26.3,23.9
2019-08-18,27.2,25.1,26.2,24.4
2019-08-19,28.4,25.1,27,25
2019-08-20,28.8,25.3,27.7,25.5
2019-08-21,28.8,25.5,27.5,25.3
2019-08-22,29.4,25.7,25.9,25
2019-08-23,29.3,25.9,25.9,24.5
2019-08-24,27.7,25.9,26.1,24.3
2019-08-25,26.3,25.7,25.8,25
2019-08-26,28.5,25.7,25.7,25.3
2019-08-27,29.2,25.7,26.1,25.1
2019-08-28,28.9,25.7,26.2,24.6
2019-08-29,28.7,25.8,25.8,23.4
2019-08-30,27.9,25.7,25.4,23.6
2019-08-31,26.2,25.5,25,24.3
2019-09-01,25.5,25.4,25.1,24.8
2019-09-02,27.6,25.4,25.1,24.7
2019-09-03,28.4,25.3,25,24.2
2019-09-04,28.8,25,24.7,25
2019-09-05,29,24.8,24.4,24.2
2019-09-06,27.7,24.7,25,23.4
2019-09-07,27.9,24.5,25.3,23.1
2019-09-08,25.9,24.3,24.9,17.6
2019-09-09,27.5,24.4,25.3,18.8
2019-09-10,28.5,24.5,25.1,20.2
2019-09-11,28,24.5,25.7,22.8
2019-09-12,27.2,24.4,25.7,23
2019-09-13,28.4,24,25.3,22.7
2019-09-14,23.6,24,25.3,22.7
2019-09-15,26.3,24.1,25.5,22.6
2019-09-16,26.4,24,25.7,23.8
2019-09-17,28.2,24,25.5,24.6
2019-09-18,28.1,24.2,25.3,24.4
2019-09-19,27.6,24,25,24.3
2019-09-20,27.8,23.8,24.7,22.4
2019-09-21,26.9,23.6,24,22.1
2019-09-22,24.8,23.3,23.5,22
2019-09-23,25.4,23,23.4,22.5
2019-09-24,26.4,,23.4,22.7
2019-09-25,26.5,,23.4,22.2
2019-09-26,25.4,,23.2,21.1
2019-09-27,26.6,,23.3,20.9
2019-09-28,26.7,,23.1,22
2019-09-29,26,,23.2,22
2019-09-30,26.2,,23.2,21.3
2019-10-01,27.3,,23.2,20.5
2019-10-02,27.3,,23.1,21.1
2019-10-03,28,,23.3,21.3
2019-10-04,26.6,,23.3,21.3
2019-10-05,26,,23.3,21.4
2019-10-06,24.4,,23.3,21.7
2019-10-07,23.6,,22.9,21.8
2019-10-08,24.3,,23,22.2
2019-10-09,23.4,,22.7,21.8
2019-10-10,25.9,,22.7,21.8
2019-10-11,26.1,,22.7,21.9
2019-10-12,23.3,,22.2,21.8
2019-10-13,22.4,,21.7,21.9
2019-10-14,24.3,,21.7,22
2019-10-15,25.7,,21.1,22
2019-10-16,26.3,,20.5,22.2
2019-10-17,26.9,,20.7,22.4
2019-10-18,26.8,,20.8,22.3
2019-10-19,26.4,,20.9,22.3
2019-10-20,26.7,,21,22.1
2019-10-21,27,19.3,21.1,22.2
2019-10-22,28.2,19.2,21.1,22.2
2019-10-23,27.6,19.1,18.9,21.7
2019-10-24,26.1,19,19.4,21.5
2019-10-25,25.1,19,19.3,21.3
2019-10-26,22.7,18.9,17.6,21.6
2019-10-27,22.3,18.7,14.5,21.5
2019-10-28,21.6,18.4,16.7,21.4
2019-10-29,23.5,18,17.1,21.4
